Title,Image URL,Description
백자 큰 항아리 조각 백자 대호편,https://www.museum.go.kr/relic_image/PS01001001/goj001/2017/0511140534286/700/goj001393-00-00.jpg,백자대호편 구연부와 견부의 일부가 결손된 상태이다 저부에서 동체의 상반부까지의 측면이 가파른 사선을 이루면서 벌어지다가 어깨부분이 둥글게 부푼 형태로 굽은 수직굽이다 유색은 담청빛이 도는 백색이다 굽바닥과 접지면을 제외한 내외 전체에 유약이 시유되었으나 내저에는 유약이 고르게 시유되지 않아 유면이 고르지 못하며 태토가 갈색으로 남아있는 부분이 있다 일부접합
글자를 새긴 수키와 조각 명문 원와편 와편 기와 조각,https://www.museum.go.kr/relic_image/PS01001001/goj02/700/goj02028.jpg,기왓등에는 한수해구가 반복해서 새겨졌다 세번째 글자는 수자와 해자가 겹쳐서 새겨졌다
사료조사1 함북명천 고참 영평산성 서문지,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0920104532657/700/pan000757-000-01.jpg,원판번호 110233 제1회 사료조사 고참 영평산성의 서문지 함북 명천군 아간면
사료조사1 함북회령 두만강 행성 문 터,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0920104626805/700/pan000798-000-01.jpg,원판번호 110276 제1회 사료조사 고령진 부근 두만강 행성의 문지 함북 회령군 화풍면 인계동
경기하남 이성산성 출토 기와 뒷면,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0904170116645/700/pan005049-000-01.jpg,원판번호 170323 이성산성 출토 와편 이면144 경기 하남시 춘궁동
사료조사2 중국요녕 석인구 문인석 정면,https://www.museum.go.kr/relic_image/PS01001001/pan001/2021/1224143246368/700/pan001200-000-01.jpg,원판번호 120050 제2회 사료조사 석인구의 문인석 정면 31 유제 일부 박락됨 중국 요녕성 개원시
경남함안 읍 동쪽 산성리 산성,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0904161203440/700/pan003832-000-01.jpg,원판번호 1507551 함안읍 동쪽 산성리 산성21 경남 함안군
서울종로 창의문 천장,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0909141208049/700/pan009800-000-01.jpg,원판번호 300579 창의문 천장 서울 종로구 홍지동
함남북청 동쪽에서 본 수서리 산성 전경,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0904171919753/700/pan005501-000-01.jpg,원판번호 190107 동쪽에서 바라본 수서리 산성 전경77 함남 북청군 덕성면
강원고성 유점사 능인보전 금동여래입상 정면,https://www.museum.go.kr/relic_image/PS01001001/pan012/2022/0516142313597/700/pan012270-000-01.jpg,원판번호 350127 유점사 능인보전 금동여래입상 정면9281 강원 고성군 서면 백천교리
평남대동 낙랑토성 구역 동부,https://www.museum.go.kr/relic_image/PS01001001/pan012/2022/0516154108910/700/pan012577-000-01.jpg,원판번호 350473 촬영 낙랑토성 구역 동부 평남 대동군 대동강면 토성리
전남나주 덕산리 고분군 3호분 갑옹관 발굴조사 모습,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0909161957932/700/pan013631-000-01.jpg,원판번호 390007 조사 1938년 사적 78호 동쪽에서 바라본 나주 덕산리 고분군 3호분 갑옹관 발굴 조사 모습 전남 나주시 반남면
전남나주 흥덕리 석실분 서실 연도와 배수구,https://www.museum.go.kr/relic_image/PS01001001/pan013/2022/0523104507430/700/pan013676-000-01.jpg,원판번호 390054 조사 1938년 나주 흥덕리 석실분 서실 연도와 배수구 전남 나주시 반남면 유제 일부 박락됨
경기고양 숭인면 우이리 벚나무 전경,https://www.museum.go.kr/relic_image/PS01001001/pan013/2022/0525094708402/700/pan013960-000-01.jpg,원판번호 400058 고양군 숭인면 우이리 벚나무 전경51 서울 도봉구 우이동
마제석부,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910132426784/700/pan021799-000-01.jpg,원판번호 3682 마제석부 제목 소재 불분명
칠도모자합,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910132549943/700/pan021877-000-01.jpg,원판번호 3778 칠도모자합 제목 소재 불분명
화문암막새편,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910141527127/700/pan023147-000-01.jpg,원판번호 4936 화문암막새편 제목 소재 불분명
전남나주 신촌리 9호분 을관 유물 출토 상태,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910155622182/700/pan027780-000-01.jpg,원판번호 9175 격납상자제목 1916 1917년 조사 사적 77호고분군 전남 나주시 반남면 신촌리 제9호분 을관 유물 출토 상태 건판 좌측으로 금이 가 파손 위험 있음 취급 주의
경북경주 사천왕사지 출토 연화문와편,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910161255772/700/pan028345-000-01.jpg,원판번호 96512 격납상자제목 1917 경북 경주시 배반동사천왕사지 출토 연화문와편 녹유연화문와편 유제면 우측변에 이라고 검정색 글씨로 기록됨
경북성주 성산동 고분군 일부의 개석,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910172515591/700/pan031079-000-01.jpg,원판번호 170193 격납상자제목 1917 1917년 조사 고분군 사적 86호 경북성주 성산동 고분군 일부의 개석 유제면 좌측 상단에 붉은색 글씨로 27 우측 상단에 연필로 15라고 기록됨
충북음성 보룡리사지 석불좌상,https://www.museum.go.kr/relic_image/PS01001001/pan032/2022/1102154602768/700/pan032239-000-01.jpg,원판번호 210060 격납상자제목 1921 1921년 조사 충북음성 보룡리사지 석불좌상 우측변 유제 일부 박락 유제면 상단 좌측에 붉은색 글씨로 상단 우측에 붉은색 글씨로 60 하단 좌측에 연필로 이라고 기록됨
함남영흥과 정평과 함흥 유적 전경,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910175436281/700/pan032302-000-01.jpg,원판번호 220009 격납상자제목 1922 1922년 조사 함남영흥과 정평과 함흥 유적 전경 제목 소재 불분명 유제면 우측 상단에 붉은색 글씨로 우측 하단에 붉은색 글씨로 9 상단 우측에 연필로 69 우측 하단에 연필로 9라고 기록됨
함남영흥과 정평과 함흥 풍경,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0910175513742/700/pan032335-000-01.jpg,원판번호 220042 격납상자제목 1922 1922년 조사 건판 32325와 동일지역 함남영흥과 정평과 함흥 풍경 제목 소재 불분명 유제면 좌측 하단에 붉은색 글씨로 좌측 상단에 붉은색 글씨로 42 상단 우측에 연필로 34 좌측변에 연필로 17 좌측 상단에 연필로 7이라고 기록됨
경북 경주 사천왕사지 보상화문수막새편,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0911104622950/700/pan036074-000-01.jpg,원판번호 5267 격납상자제목 상자 제목 없음 경북 경주 사천왕사지 보상화문수막새편 소장 유제면 좌측 상단 상단 우측에 검정색 글씨로 5267이라고 기록됨
수덕사 벽화 모사도,https://www.museum.go.kr/relic_image/PS01001001/kno000/2022/0222093859607/700/kno000218-000-80100.jpg,고려 14세기 충남 예산 수덕사 대웅전 동벽과 서벽에 그려졌던 벽화의 모사도로 1937년 대웅전 수리공사를 할 당시 임천이 그린 것이다 실물은 모두 소실되어 남아 있지 않고19331934년 사이에 오가와 게이기치가 찍은 사진 자료가 남아 있다 두 작품 모두 연꽃잎 모양의 꽃병에 수생화와 야생화가 가득 꽂혀 있는 모습으로 꽃들의 우아한 멋과 다양한 색채 능란한 필치 등이 고려시대 사원 벽화의 우수한 양식을 잘 보여주고 있다
청동 장식용 기와 청동 토수,https://www.museum.go.kr/relic_image/PS01001001/goj022/2022/0810145622209/700/goj022597-000-00000.jpg,용의 정수리에 최자가 새겨져 있다
칠 조각 칠편,https://www.museum.go.kr/relic_image/PS01001001/goj023/2022/0816132100450/700/goj023994-000-00000.jpg,왕 명문이 있다
몽유도원도 최와 천봉필 찬시,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0909142910257/700/pan009999-000-01.jpg,원판번호 310115 몽유도원도 최와 천봉필 찬시21 현 대학 중앙도서관 소장
전남구례 화엄사 각황전 삼존불상,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0920103828727/700/pan000443-000-01.jpg,원판번호 100241 화엄사 각황전 삼존불상과 협시보살상 전남 구례군 마산면 황전리
사료조사3 경남밀양 백정 부인 체격측정,https://www.museum.go.kr/relic_image/PS01001001/pan002/2018/0702105243760/700/pan002154-00-02.jpg,원판번호 130261 촬영 1914년 제3회 사료조사 밀양 백정 부인 5명의 체격 측정 정면21 경남 밀양시
경북경주 월성골굴암 마애여래좌상 전경,https://www.museum.go.kr/relic_image/PS01001001/pan007/2022/0411104525735/700/pan007803-000-01.jpg,원판번호 260342 보물 581호 월성골굴암마애여래좌상 전경22 경북 경주시 양북면 안동리
강원강릉 대창리 당간지주,https://www.museum.go.kr/relic_image/PS01001001/pan005/2022/0323103000805/700/pan005418-000-01.jpg,원판번호 190024 보물 82호 강릉 대창리 당간지주 강원 강릉시 옥천동
평남용강 황룡산성 밖에서 본 남문과 성벽,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0904164644442/700/pan004558-000-01.jpg,원판번호 160379 황룡산성 남문 밖에서 바라본 수문 남문 성벽63 평남 용강군 봉산면 옥도리
경북경주 황남리 갑분 발굴 전 적석 노출 상태,https://www.museum.go.kr/relic_image/PS01001001/pan000/2019/0906095516650/700/pan007488-000-01.jpg,원판번호 260005 사적 40호 경주 황남리 고분군 갑분 발굴 전 적석 노출 상태31 경북 경주시 황남동
청동 거울 청동 경 동경,https://www.museum.go.kr/relic_image/PS01001001/ssu030/2016/1111143920717/700/ssu030917-00-00.jpg,내구는 꼭지를 중심으로 4개의 원 안에 범어가 있고 주위로 12개의 국화문이 규칙적으로 배치되었으나 부식되어 형태가 희미하다
